Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,315374.0,Simon Adingra,Simon,Adingra,F,11.0,Left Winger,Brighton & Hove Albion,BHA,1.0,22 years 235 days,Cote D’Ivoire,1.0
2024/25,342617.0,Ola Aina,Ola,Aina,D,34.0,Right Full Back,Nottingham Forest,NFO,1.0,27 years 320 days,Nigeria,1.0
2024/25,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,1.0,23 years 78 days,Algeria,1.0
2024/25,310499.0,Kristoffer Ajer,Kristoffer,Ajer,D,20.0,Centre Central Defender,Brentford,BRE,1.0,26 years 128 days,Norway,1.0
2024/25,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,1.0,29 years 35 days,Switzerland,1.0
2024/25,356742.0,Ali Al-Hamadi,Ali Ibrahim Karim,Al-Hamadi,F,16.0,Striker,Ipswich Town,IPS,1.0,22 years 175 days,Iraq,1.0
2024/25,356612.0,Carlos Alcaraz,Carlos,Alcaraz,M,26.0,Centre Central Midfielder,Southampton,SOU,1.0,21 years 267 days,Argentina,1.0
2024/25,30533.0,Trent Alexander-Arnold,Trent,Alexander-Arnold,D,n/a,Right Full Back,Liverpool,LIV,1.0,25 years 321 days,England,1.0
2024/25,322872.0,Sam Amo-Ameyaw,Sam,Amo-Ameyaw,M,11.0,Left Winger,Southampton,SOU,1.0,18 years 36 days,England,1.0
2024/25,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,Fulham,FUL,1.0,28 years 84 days,Denmark,1.0
2024/25,359414.0,Elliot Anderson,Elliot,Anderson,M,8.0,Centre Central Midfielder,Nottingham Forest,NFO,1.0,21 years 291 days,Scotland,1.0
2024/25,327643.0,Michail Antonio,Michail,Antonio,F,n/a,Centre Striker,West Ham United,WHU,1.0,34 years 148 days,Jamaica,1.0
2024/25,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,1.0,28 years 9 days,Brazil,1.0
