Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Assists,Age,Nationality,Rank
2024/25,360844.0,Abdul Fatawu,Abdul,Fatawu,F,7.0,Right Winger,Leicester City,LEI,1.0,20 years 168 days,Ghana,1.0
2024/25,309995.0,Alejandro Garnacho,Alejandro,Garnacho,F,17.0,Left/Right Winger,Manchester United,MUN,1.0,20 years 53 days,Argentina,1.0
2024/25,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,1.0,25 years 73 days,Germany,1.0
2024/25,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,1.0,24 years 337 days,Sweden,1.0
2024/25,340680.0,James Maddison,James,Maddison,M,10.0,Left/Centre/Right Attacking Midfielder,Tottenham Hotspur,TOT,1.0,27 years 274 days,England,1.0
2024/25,359408.0,Yankuba Minteh,Yankuba,Minteh,F,17.0,Left/Centre/Right Winger,Brighton & Hove Albion,BHA,1.0,20 years 32 days,Gambia,1.0
2024/25,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,1.0,30 years 13 days,Portugal,1.0
2024/25,222663.0,Jacob Ramsey,Jacob,Ramsey,M,41.0,Midfielder,Aston Villa,AVL,1.0,23 years 87 days,England,1.0
2024/25,135654.0,Bukayo Saka,Bukayo,Saka,F,77.0,Left Winger,Arsenal,ARS,1.0,22 years 353 days,England,1.0
2024/25,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,1.0,32 years 69 days,Egypt,1.0
2024/25,340565.0,Youri Tielemans,Youri,Tielemans,M,8.0,Centre Central Midfielder,Aston Villa,AVL,1.0,27 years 108 days,Belgium,1.0
2024/25,259569.0,Danny Welbeck,Danny,Welbeck,F,18.0,Centre Striker,Brighton & Hove Albion,BHA,1.0,33 years 271 days,England,1.0
2024/25,360338.0,Mats Wieffer,Mats,Wieffer,M,27.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,1.0,24 years 281 days,Netherlands,1.0
2024/25,286396.0,Yoane Wissa,Yoane,Wissa,M,11.0,Left Winger,Brentford,BRE,1.0,27 years 355 days,DR Congo,1.0
2024/25,315374.0,Simon Adingra,Simon,Adingra,F,11.0,Left Winger,Brighton & Hove Albion,BHA,0.0,22 years 235 days,Cote D’Ivoire,15.0
2024/25,362102.0,Dean Huijsen,Dean,Huijsen,D,2.0,Centre Central Defender,Bournemouth,BOU,0.0,19 years 131 days,Spain,15.0
