Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Cleansheets,Age,Nationality,Rank
2024/25,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,1.0,29 years 35 days,Switzerland,1.0
2024/25,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,1.0,28 years 9 days,Brazil,1.0
2024/25,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,1.0,31 years 326 days,Brazil,1.0
2024/25,180060.0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,M,8.0,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,1.0,29 years 350 days,Portugal,1.0
2024/25,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,1.0,32 years 106 days,England,1.0
2024/25,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,1.0,32 years 182 days,Brazil,1.0
2024/25,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,1.0,25 years 158 days,Portugal,1.0
2024/25,19595.0,Kevin De Bruyne,Kevin,De Bruyne,M,17.0,Left/Centre/Right Attacking Midfielder,Manchester City,MCI,1.0,33 years 56 days,Belgium,1.0
2024/25,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,1.0,27 years 223 days,Colombia,1.0
2024/25,345865.0,Jérémy Doku,Jérémy,Doku,F,11.0,Left/Right Winger,Manchester City,MCI,1.0,22 years 88 days,Belgium,1.0
2024/25,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,1.0,27 years 101 days,Portugal,1.0
2024/25,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,1.0,26 years 248 days,Brazil,1.0
2024/25,346846.0,Ryan Gravenberch,Ryan,Gravenberch,M,38.0,Centre Central Midfielder,Liverpool,LIV,1.0,22 years 99 days,Netherlands,1.0
2024/25,302712.0,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,M,39.0,Centre Defensive Midfielder,Newcastle United,NEW,1.0,26 years 281 days,Brazil,1.0
2024/25,343671.0,Josko Gvardiol,Josko,Gvardiol,D,24.0,Defender,Manchester City,MCI,1.0,22 years 213 days,Croatia,1.0
2024/25,312560.0,Erling Haaland,Erling,Haaland,F,9.0,Centre Striker,Manchester City,MCI,1.0,24 years 33 days,Norway,1.0
2024/25,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,1.0,25 years 73 days,Germany,1.0
2024/25,335797.0,Jack Hinshelwood,Jack,Hinshelwood,M,41.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,1.0,19 years 134 days,England,1.0
2024/25,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,1.0,24 years 337 days,Sweden,1.0
2024/25,340665.0,Mateo Kovacic,Mateo,Kovacic,M,8.0,Central Midfielder,Manchester City,MCI,1.0,30 years 109 days,Croatia,1.0
2024/25,322362.0,Rico Lewis,Rico,Lewis,D,82.0,Right Full Back,Manchester City,MCI,1.0,19 years 276 days,England,1.0
2024/25,344361.0,Tino Livramento,Tino,Livramento,D,21.0,Right Full Back,Newcastle United,NEW,1.0,21 years 285 days,England,1.0
2024/25,135591.0,Sean Longstaff,Sean,Longstaff,M,36.0,Centre Central Midfielder,Newcastle United,NEW,1.0,26 years 298 days,England,1.0
2024/25,340453.0,Alexis Mac Allister,Alexis,Mac Allister,M,10.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,1.0,25 years 243 days,Argentina,1.0
2024/25,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,1.0,23 years 66 days,Brazil,1.0
2024/25,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,1.0,26 years 218 days,Argentina,1.0
2024/25,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,1.0,30 years 13 days,Portugal,1.0
2024/25,342476.0,André Onana,André,Onana,G,24.0,Goalkeeper,Manchester United,MUN,1.0,28 years 143 days,Cameroon,1.0
2024/25,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,1.0,31 years 71 days,Ghana,1.0
2024/25,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,1.0,32 years 126 days,England,1.0
2024/25,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,1.0,26 years 297 days,England,1.0
2024/25,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,Arsenal,ARS,1.0,28 years 343 days,Spain,1.0
2024/25,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,1.0,32 years 69 days,Egypt,1.0
2024/25,289352.0,William Saliba,William,Saliba,D,2.0,Central Defender,Arsenal,ARS,1.0,23 years 152 days,France,1.0
2024/25,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,1.0,31 years 6 days,Brazil,1.0
2024/25,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,1.0,34 years 5 days,England,1.0
2024/25,340932.0,Dominik Szoboszlai,Dominik,Szoboszlai,M,8.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,1.0,23 years 303 days,Hungary,1.0
2024/25,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,1.0,33 years 46 days,Netherlands,1.0
2024/25,328313.0,Jan Paul van Hecke,Jan Paul,van Hecke,D,n/a,Defender,Brighton & Hove Albion,BHA,1.0,24 years 76 days,Netherlands,1.0
