Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,ClearanceOffLine,Age,Nationality,Rank
2024/25,359413.0,Lewis Hall,Lewis,Hall,D,20.0,Left Full Back,Newcastle United,NEW,1.0,19 years 350 days,England,1.0
2024/25,42220.0,Wilfred Ndidi,Wilfred,Ndidi,M,6.0,Centre Central Midfielder,Leicester City,LEI,1.0,27 years 251 days,Nigeria,1.0
2023/24,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,3.0,32 years 106 days,England,1.0
2023/24,346775.0,Murillo,Murillo Santiago,Costa dos Santos,D,5.0,Left/Centre Central Defender,Nottingham Forest,NFO,3.0,22 years 50 days,Brazil,1.0
2023/24,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,3.0,25 years 158 days,Portugal,1.0
2023/24,322882.0,Issa Diop,Issa,Diop,D,31.0,Centre Central Defender,Fulham,FUL,3.0,27 years 227 days,France,1.0
2023/24,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,3.0,32 years 276 days,England,1.0
2023/24,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,3.0,25 years 220 days,Portugal,1.0
2023/24,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,n/a,n/a,3.0,27 years 92 days,England,1.0
2023/24,361016.0,Albert Sambi Lokonga,Albert,Sambi Lokonga,M,12.0,Centre Central Midfielder,Luton Town,LUT,3.0,24 years 306 days,Belgium,1.0
2023/24,277643.0,Reece Burke,Reece,Burke,D,16.0,Centre Central Defender,Luton Town,LUT,2.0,27 years 356 days,England,9.0
2023/24,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,2.0,32 years 182 days,Brazil,9.0
2023/24,336892.0,Craig Dawson,Craig,Dawson,D,15.0,Centre Central Defender,Wolverhampton Wanderers,WOL,2.0,34 years 109 days,England,9.0
2023/24,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,2.0,27 years 101 days,Portugal,9.0
2023/24,313731.0,Alfie Doughty,Alfie,Doughty,M,45.0,Left Winger,Luton Town,LUT,2.0,24 years 246 days,England,9.0
2023/24,346774.0,Teden Mengi,Teden,Mengi,D,15.0,Centre Central Defender,Luton Town,LUT,2.0,22 years 115 days,England,9.0
2023/24,169744.0,Tyrick Mitchell,Tyrick,Mitchell,D,39.0,Left Full Back,Crystal Palace,CRY,2.0,24 years 357 days,England,9.0
2023/24,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,West Ham United,WHU,2.0,30 years 20 days,Italy,9.0
2023/24,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,Arsenal,ARS,2.0,25 years 222 days,England,9.0
2023/24,179282.0,Jack Robinson,Jack,Robinson,D,19.0,Left Full Back,Sheffield United,SHU,2.0,30 years 357 days,England,9.0
2023/24,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,2.0,27 years 15 days,United States,9.0
2023/24,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,2.0,29 years 178 days,Czech Republic,9.0
2023/24,341884.0,Pau Torres,Pau,Torres,D,14.0,Central Defender,Aston Villa,AVL,2.0,27 years 220 days,Spain,9.0
2023/24,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,2.0,28 years 237 days,England,9.0
2023/24,312977.0,Nayef Aguerd,Nayef,Aguerd,D,27.0,Centre Central Defender,West Ham United,WHU,1.0,28 years 146 days,Morocco,23.0
2023/24,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,1.0,23 years 78 days,Algeria,23.0
2023/24,154335.0,Miguel Almirón,Miguel,Almirón,M,24.0,Left/Centre/Right Second Striker,Newcastle United,NEW,1.0,30 years 195 days,Paraguay,23.0
2023/24,335884.0,Benoît Badiashile,Benoît,Badiashile,D,5.0,Centre Central Defender,Chelsea,CHE,1.0,23 years 150 days,France,23.0
2023/24,160732.0,Philip Billing,Philip,Billing,M,29.0,Centre Defensive Midfielder,Bournemouth,BOU,1.0,28 years 73 days,Denmark,23.0
2023/24,325444.0,Willy-Arnaud Boly,Willy-Arnaud,Boly,D,30.0,Centre Central Defender,Nottingham Forest,NFO,1.0,33 years 202 days,Cote D’Ivoire,23.0
2023/24,313931.0,Sven Botman,Sven,Botman,D,4.0,Central Defender,Newcastle United,NEW,1.0,24 years 224 days,Netherlands,23.0
2023/24,345054.0,Moisés Caicedo,Moisés,Caicedo,M,25.0,Centre Defensive Midfielder,Chelsea,CHE,1.0,22 years 295 days,Ecuador,23.0
2023/24,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,1.0,27 years 16 days,Poland,23.0
2023/24,288967.0,Ryan Christie,Ryan,Christie,M,10.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,1.0,29 years 183 days,Scotland,23.0
2023/24,27098.0,Nathaniel Clyne,Nathaniel,Clyne,D,17.0,Right Full Back,Crystal Palace,CRY,1.0,33 years 140 days,England,23.0
2023/24,94007.0,Séamus Coleman,Séamus,Coleman,D,n/a,Right Full Back,Everton,EVE,1.0,35 years 317 days,Ireland,23.0
2023/24,317848.0,Josh Cullen,Josh,Cullen,M,24.0,Centre Central Midfielder,Burnley,BUR,1.0,28 years 138 days,Ireland,23.0
2023/24,344447.0,Vinicius Souza,Vinicius,de Souza Costa,M,21.0,Centre Central Midfielder,Sheffield United,SHU,1.0,25 years 67 days,Brazil,23.0
2023/24,343402.0,Igor Julio,Igor Julio,dos Santos de Paulo,D,3.0,Centre Central Defender,Brighton & Hove Albion,BHA,1.0,26 years 198 days,Brazil,23.0
2023/24,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,1.0,26 years 248 days,Brazil,23.0
2023/24,359153.0,Tommy Doyle,Tommy,Doyle,M,20.0,Centre Central Midfielder,n/a,n/a,1.0,22 years 311 days,England,23.0
2023/24,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,Manchester United,MUN,1.0,36 years 233 days,Northern Ireland,23.0
2023/24,337528.0,João Gomes,João Victor,Gomes da Silva,M,8.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,1.0,23 years 193 days,Brazil,23.0
2023/24,335797.0,Jack Hinshelwood,Jack,Hinshelwood,M,41.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,1.0,19 years 134 days,England,23.0
2023/24,361468.0,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,M,23.0,Centre Defensive Midfielder,n/a,n/a,1.0,29 years 18 days,Denmark,23.0
2023/24,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,1.0,26 years 105 days,Germany,23.0
2023/24,362873.0,Zanka,Mathias,Jørgensen,D,13.0,Centre Central Defender,n/a,n/a,1.0,34 years 122 days,Denmark,23.0
2023/24,342616.0,Issa Kaboré,Issa,Kaboré,D,12.0,Right Full Back,Luton Town,LUT,1.0,23 years 103 days,Burkina Faso,23.0
2023/24,312584.0,Boubacar Kamara,Boubacar,Kamara,M,44.0,Centre Defensive Midfielder,Aston Villa,AVL,1.0,24 years 274 days,France,23.0
2023/24,345135.0,Tariq Lamptey,Tariq,Lamptey,D,n/a,Defender,Brighton & Hove Albion,BHA,1.0,23 years 328 days,Ghana,23.0
2023/24,344361.0,Tino Livramento,Tino,Livramento,D,21.0,Right Full Back,Newcastle United,NEW,1.0,21 years 285 days,England,23.0
2023/24,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,1.0,26 years 218 days,Argentina,23.0
2023/24,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Everton,EVE,1.0,24 years 275 days,England,23.0
2023/24,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Brentford,BRE,1.0,34 years 337 days,England,23.0
