Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Dispossessed,Age,Nationality,Rank
2024/25,359184.0,Tim Iroegbunam,Tim,Iroegbunam,M,42.0,Centre Central Midfielder,Everton,EVE,5.0,21 years 54 days,England,1.0
2024/25,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,5.0,24 years 21 days,Ghana,1.0
2024/25,325037.0,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,M,10.0,Centre Attacking Midfielder,West Ham United,WHU,5.0,26 years 362 days,Brazil,1.0
2024/25,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,Leicester City,LEI,4.0,31 years 203 days,Jamaica,4.0
2024/25,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,4.0,27 years 223 days,Colombia,4.0
2024/25,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,Nottingham Forest,NFO,4.0,22 years 118 days,Sweden,4.0
2024/25,328496.0,Kobbie Mainoo,Kobbie,Mainoo,M,37.0,Centre Central Midfielder,Manchester United,MUN,4.0,19 years 126 days,England,4.0
2024/25,166522.0,Mads Roerslev,Mads,Roerslev,D,30.0,Right Full Back,Brentford,BRE,4.0,25 years 60 days,Denmark,4.0
2024/25,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,Brentford,BRE,4.0,22 years 270 days,Germany,4.0
2024/25,255674.0,Diogo Jota,Diogo José,Teixeira da Silva,F,20.0,Left/Centre/Right Striker,Liverpool,LIV,4.0,27 years 263 days,Portugal,4.0
2024/25,360338.0,Mats Wieffer,Mats,Wieffer,M,27.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,4.0,24 years 281 days,Netherlands,4.0
2024/25,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,3.0,25 years 220 days,Portugal,12.0
2024/25,302712.0,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,M,39.0,Centre Defensive Midfielder,Newcastle United,NEW,3.0,26 years 281 days,Brazil,12.0
2024/25,312560.0,Erling Haaland,Erling,Haaland,F,9.0,Centre Striker,Manchester City,MCI,3.0,24 years 33 days,Norway,12.0
2024/25,340665.0,Mateo Kovacic,Mateo,Kovacic,M,8.0,Central Midfielder,Manchester City,MCI,3.0,30 years 109 days,Croatia,12.0
2024/25,340568.0,Dejan Kulusevski,Dejan,Kulusevski,M,21.0,Right Winger,Tottenham Hotspur,TOT,3.0,24 years 120 days,Sweden,12.0
2024/25,341034.0,Mason Mount,Mason,Mount,M,7.0,Centre Attacking Midfielder,Manchester United,MUN,3.0,25 years 226 days,England,12.0
2024/25,323855.0,Rodrigo Muniz,Rodrigo,Muniz Carvalho,F,9.0,Striker,Fulham,FUL,3.0,23 years 111 days,Brazil,12.0
2024/25,346777.0,Cole Palmer,Cole,Palmer,M,20.0,Attacking Midfielder,Chelsea,CHE,3.0,22 years 109 days,England,12.0
2024/25,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,3.0,24 years 229 days,Ghana,12.0
2024/25,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,3.0,25 years 250 days,Norway,12.0
2024/25,315374.0,Simon Adingra,Simon,Adingra,F,11.0,Left Winger,Brighton & Hove Albion,BHA,2.0,22 years 235 days,Cote D’Ivoire,22.0
2024/25,322872.0,Sam Amo-Ameyaw,Sam,Amo-Ameyaw,M,11.0,Left Winger,Southampton,SOU,2.0,18 years 36 days,England,22.0
2024/25,286397.0,Adam Armstrong,Adam,Armstrong,F,9.0,Centre Striker,Southampton,SOU,2.0,27 years 195 days,England,22.0
2024/25,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,2.0,27 years 14 days,Jamaica,22.0
2024/25,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,2.0,27 years 59 days,Uruguay,22.0
