Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Fouls,Age,Nationality,Rank
2024/25,361163.0,Flynn Downes,Flynn,Downes,M,4.0,Midfielder,Southampton,SOU,5.0,25 years 216 days,England,1.0
2024/25,346846.0,Ryan Gravenberch,Ryan,Gravenberch,M,38.0,Centre Central Midfielder,Liverpool,LIV,5.0,22 years 99 days,Netherlands,1.0
2024/25,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,4.0,28 years 9 days,Brazil,3.0
2024/25,258090.0,Vladimír Coufal,Vladimír,Coufal,D,5.0,Right Full Back,West Ham United,WHU,4.0,32 years 1 day,Czech Republic,3.0
2024/25,359409.0,Daichi Kamada,Daichi,Kamada,M,18.0,Centre Attacking Midfielder,Crystal Palace,CRY,4.0,28 years 18 days,Japan,3.0
2024/25,323826.0,Destiny Udogie,Destiny,Udogie,D,13.0,Right Full Back,Tottenham Hotspur,TOT,4.0,21 years 269 days,Italy,3.0
2024/25,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,3.0,32 years 106 days,England,7.0
2024/25,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,3.0,27 years 16 days,Poland,7.0
2024/25,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,3.0,27 years 223 days,Colombia,7.0
2024/25,325335.0,Wesley Fofana,Wesley,Fofana,D,29.0,Centre Central Defender,Chelsea,CHE,3.0,23 years 250 days,France,7.0
2024/25,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,Nottingham Forest,NFO,3.0,24 years 209 days,England,7.0
2024/25,337528.0,João Gomes,João Victor,Gomes da Silva,M,8.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,3.0,23 years 193 days,Brazil,7.0
2024/25,328496.0,Kobbie Mainoo,Kobbie,Mainoo,M,37.0,Centre Central Midfielder,Manchester United,MUN,3.0,19 years 126 days,England,7.0
2024/25,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,3.0,31 years 71 days,Ghana,7.0
2024/25,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,3.0,32 years 69 days,Egypt,7.0
2024/25,320107.0,Will Smallbone,Will,Smallbone,M,18.0,Centre Central Midfielder,Southampton,SOU,3.0,24 years 184 days,Ireland,7.0
2024/25,325037.0,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,M,10.0,Centre Attacking Midfielder,West Ham United,WHU,3.0,26 years 362 days,Brazil,7.0
2024/25,344967.0,Adama Traoré,Adama,Traoré,F,11.0,Winger,Fulham,FUL,3.0,28 years 211 days,Spain,7.0
2024/25,134233.0,Ryan Yates,Ryan,Yates,M,22.0,Left/Centre/Right Attacking Midfielder,Nottingham Forest,NFO,3.0,26 years 276 days,England,7.0
2024/25,319999.0,Oleksandr Zinchenko,Oleksandr,Zinchenko,D,17.0,Left Full Back,Arsenal,ARS,3.0,27 years 252 days,Ukraine,7.0
2024/25,342617.0,Ola Aina,Ola,Aina,D,34.0,Right Full Back,Nottingham Forest,NFO,2.0,27 years 320 days,Nigeria,21.0
2024/25,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,2.0,23 years 78 days,Algeria,21.0
2024/25,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,2.0,29 years 35 days,Switzerland,21.0
2024/25,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,Fulham,FUL,2.0,28 years 84 days,Denmark,21.0
2024/25,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,2.0,27 years 14 days,Jamaica,21.0
2024/25,343384.0,Calvin Bassey,Calvin,Bassey,D,3.0,Left Full Back,Fulham,FUL,2.0,24 years 236 days,Nigeria,21.0
2024/25,346853.0,Jean-Ricner Bellegarde,Jean-Ricner,Bellegarde,M,27.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,2.0,26 years 57 days,France,21.0
2024/25,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,2.0,27 years 59 days,Uruguay,21.0
2024/25,277082.0,Wes Burns,Wes,Burns,F,n/a,Right Winger,Ipswich Town,IPS,2.0,29 years 274 days,Wales,21.0
2024/25,345054.0,Moisés Caicedo,Moisés,Caicedo,M,25.0,Centre Defensive Midfielder,Chelsea,CHE,2.0,22 years 295 days,Ecuador,21.0
2024/25,294324.0,Lewis Cook,Lewis,Cook,M,n/a,Midfielder,Bournemouth,BOU,2.0,27 years 202 days,England,21.0
2024/25,346775.0,Murillo,Murillo Santiago,Costa dos Santos,D,5.0,Left/Centre Central Defender,Nottingham Forest,NFO,2.0,22 years 50 days,Brazil,21.0
2024/25,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,2.0,25 years 158 days,Portugal,21.0
2024/25,320523.0,Leif Davis,Leif,Davis,D,3.0,Left Full Back,Ipswich Town,IPS,2.0,24 years 236 days,England,21.0
2024/25,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,Leicester City,LEI,2.0,31 years 203 days,Jamaica,21.0
