Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,HitWoodwork,Age,Nationality,Rank
2024/25,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,1.0,27 years 14 days,Jamaica,1.0
2024/25,340425.0,João Pedro,João Pedro,Junqueira de Jesus,F,9.0,Centre Striker,Brighton & Hove Albion,BHA,1.0,22 years 332 days,Brazil,1.0
2023/24,312801.0,Darwin Núñez,Darwin,Núñez,F,9.0,Centre Striker,Liverpool,LIV,9.0,25 years 60 days,Uruguay,1.0
2023/24,180212.0,Jarrod Bowen,Jarrod,Bowen,F,20.0,Centre Striker,West Ham United,WHU,5.0,27 years 247 days,England,2.0
2023/24,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,5.0,28 years 237 days,England,2.0
2023/24,338756.0,James Garner,James,Garner,M,n/a,Centre Central Midfielder,Everton,EVE,4.0,23 years 163 days,England,4.0
2023/24,315742.0,Carlton Morris,Carlton,Morris,F,9.0,Centre Striker,Luton Town,LUT,4.0,28 years 251 days,England,4.0
2023/24,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,n/a,n/a,4.0,26 years 344 days,England,4.0
2023/24,20239.0,Son Heung-Min,Heung-Min,Son,F,7.0,Left/Centre/Right Winger,Tottenham Hotspur,TOT,4.0,32 years 46 days,South Korea,4.0
2023/24,30533.0,Trent Alexander-Arnold,Trent,Alexander-Arnold,D,n/a,Right Full Back,Liverpool,LIV,3.0,25 years 321 days,England,8.0
2023/24,359465.0,Ross Barkley,Ross,Barkley,M,6.0,Centre Central Midfielder,Luton Town,LUT,3.0,30 years 262 days,England,8.0
2023/24,180060.0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,M,8.0,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,3.0,29 years 350 days,Portugal,8.0
2023/24,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,3.0,27 years 160 days,England,8.0
2023/24,344342.0,Matheus Cunha,Matheus Santos,Carneiro da Cunha,F,12.0,Striker,Wolverhampton Wanderers,WOL,3.0,25 years 88 days,Brazil,8.0
2023/24,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,3.0,27 years 223 days,Colombia,8.0
2023/24,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,3.0,26 years 220 days,France,8.0
2023/24,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,Nottingham Forest,NFO,3.0,22 years 118 days,Sweden,8.0
2023/24,165275.0,Harvey Elliott,Harvey,Elliott,M,n/a,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,3.0,21 years 141 days,England,8.0
