Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,OwnGoals,Age,Nationality,Rank
2024/25,339963.0,Ethan Pinnock,Ethan,Pinnock,D,n/a,Left/Centre Central Defender,Brentford,BRE,1.0,31 years 86 days,Jamaica,1.0
2023/24,356532.0,Daiki Hashioka,Daiki,Hashioka,D,27.0,Right Full Back,Luton Town,LUT,2.0,25 years 98 days,Japan,1.0
2023/24,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,2.0,31 years 356 days,Argentina,1.0
2023/24,345765.0,Konstantinos Mavropanos,Konstantinos,Mavropanos,D,15.0,Centre Central Defender,West Ham United,WHU,2.0,26 years 256 days,Greece,1.0
2023/24,179282.0,Jack Robinson,Jack,Robinson,D,19.0,Left Full Back,Sheffield United,SHU,2.0,30 years 357 days,England,1.0
2023/24,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,2.0,27 years 15 days,United States,1.0
2023/24,336268.0,Ameen Al Dakhil,Ameen,Al Dakhil,D,28.0,Central Defender,Burnley,BUR,1.0,22 years 170 days,Belgium,6.0
2023/24,357712.0,Oliver Arblaster,Oliver,Arblaster,M,n/a,Centre Central Midfielder,Sheffield United,SHU,1.0,20 years 110 days,England,6.0
2023/24,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,1.0,31 years 178 days,France,6.0
2023/24,335884.0,Benoît Badiashile,Benoît,Badiashile,D,5.0,Centre Central Defender,Chelsea,CHE,1.0,23 years 150 days,France,6.0
2023/24,347658.0,Anis Ben Slimane,Anis,Ben Slimane,M,n/a,Midfielder,Sheffield United,SHU,1.0,23 years 160 days,Tunisia,6.0
2023/24,361345.0,Jayden Bogle,Jayden,Bogle,D,2.0,Right Full Back,Sheffield United,SHU,1.0,24 years 27 days,England,6.0
2023/24,313931.0,Sven Botman,Sven,Botman,D,4.0,Central Defender,Newcastle United,NEW,1.0,24 years 224 days,Netherlands,6.0
2023/24,349256.0,Conor Bradley,Conor,Bradley,D,84.0,Right Full Back,Liverpool,LIV,1.0,21 years 45 days,Northern Ireland,6.0
2023/24,362983.0,Hugo Bueno,Hugo,Bueno,D,16.0,Left Full Back,n/a,n/a,1.0,21 years 340 days,Spain,6.0
2023/24,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,1.0,33 years 216 days,Scotland,6.0
2023/24,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,1.0,27 years 16 days,Poland,6.0
2023/24,94007.0,Séamus Coleman,Séamus,Coleman,D,n/a,Right Full Back,Everton,EVE,1.0,35 years 317 days,Ireland,6.0
2023/24,346775.0,Murillo,Murillo Santiago,Costa dos Santos,D,5.0,Left/Centre Central Defender,Nottingham Forest,NFO,1.0,22 years 50 days,Brazil,6.0
2023/24,322024.0,Marc Cucurella,Marc,Cucurella,D,3.0,Left Wing Back,Chelsea,CHE,1.0,26 years 32 days,Spain,6.0
2023/24,343595.0,Axel Disasi,Axel,Disasi,D,2.0,Centre Central Defender,Chelsea,CHE,1.0,26 years 165 days,France,6.0
2023/24,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,1.0,27 years 101 days,Portugal,6.0
2023/24,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,1.0,26 years 248 days,Brazil,6.0
2023/24,323410.0,Pervis Estupiñán,Pervis,Estupiñán,D,30.0,Left Full Back,Brighton & Hove Albion,BHA,1.0,26 years 215 days,Ecuador,6.0
2023/24,359331.0,Wes Foderingham,Wes,Foderingham,G,21.0,Goalkeeper,Sheffield United,SHU,1.0,33 years 222 days,England,6.0
2023/24,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,Crystal Palace,CRY,1.0,27 years 164 days,England,6.0
2023/24,361468.0,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,M,23.0,Centre Defensive Midfielder,n/a,n/a,1.0,29 years 18 days,Denmark,6.0
2023/24,342616.0,Issa Kaboré,Issa,Kaboré,D,12.0,Right Full Back,Luton Town,LUT,1.0,23 years 103 days,Burkina Faso,6.0
2023/24,342472.0,Milos Kerkez,Milos,Kerkez,D,3.0,Left Full Back,Bournemouth,BOU,1.0,20 years 290 days,Hungary,6.0
2023/24,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,Fulham,FUL,1.0,32 years 172 days,Germany,6.0
2023/24,202656.0,Tom Lockyer,Tom,Lockyer,D,4.0,Centre Central Defender,Luton Town,LUT,1.0,29 years 264 days,Wales,6.0
2023/24,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,1.0,26 years 218 days,Argentina,6.0
2023/24,43049.0,Joël Matip,Joël,Matip,D,32.0,Centre Central Defender,n/a,n/a,1.0,33 years 15 days,Cameroon,6.0
