Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Saves,Age,Nationality,Rank
2024/25,322361.0,Neto,Norberto,Murara Neto,G,1.0,Goalkeeper,Bournemouth,BOU,7.0,35 years 35 days,Brazil,1.0
2024/25,340457.0,Mark Flekken,Mark,Flekken,G,1.0,Goalkeeper,Brentford,BRE,6.0,31 years 71 days,Netherlands,2.0
2024/25,342190.0,Mads Hermansen,Mads,Hermansen,G,30.0,Goalkeeper,Leicester City,LEI,5.0,24 years 43 days,Denmark,3.0
2024/25,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,Fulham,FUL,4.0,32 years 172 days,Germany,4.0
2024/25,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,4.0,31 years 219 days,Portugal,4.0
2024/25,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,Crystal Palace,CRY,3.0,27 years 164 days,England,6.0
2024/25,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,3.0,31 years 356 days,Argentina,6.0
2024/25,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,3.0,32 years 126 days,England,6.0
2024/25,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,Arsenal,ARS,3.0,28 years 343 days,Spain,6.0
2024/25,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,Chelsea,CHE,3.0,26 years 279 days,Spain,6.0
2024/25,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,3.0,31 years 6 days,Brazil,6.0
2024/25,356625.0,Matz Sels,Matz,Sels,G,26.0,Goalkeeper,Nottingham Forest,NFO,3.0,32 years 179 days,Belgium,6.0
2024/25,301239.0,Christian Walton,Christian,Walton,G,28.0,Goalkeeper,Ipswich Town,IPS,3.0,28 years 288 days,England,6.0
2024/25,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,2.0,31 years 326 days,Brazil,14.0
2024/25,342476.0,André Onana,André,Onana,G,24.0,Goalkeeper,Manchester United,MUN,2.0,28 years 143 days,Cameroon,14.0
2024/25,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,2.0,30 years 169 days,England,14.0
2024/25,340670.0,Guglielmo Vicario,Guglielmo,Vicario,G,1.0,Goalkeeper,Tottenham Hotspur,TOT,2.0,27 years 321 days,Italy,14.0
2024/25,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,1.0,31 years 178 days,France,18.0
2024/25,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,1.0,34 years 5 days,England,18.0
2023/24,342476.0,André Onana,André,Onana,G,24.0,Goalkeeper,Manchester United,MUN,149.0,28 years 143 days,Cameroon,1.0
2023/24,343604.0,Thomas Kaminski,Thomas,Kaminski,G,24.0,Goalkeeper,Luton Town,LUT,145.0,31 years 305 days,Belgium,2.0
2023/24,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,138.0,31 years 178 days,France,3.0
2023/24,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,Fulham,FUL,134.0,32 years 172 days,Germany,4.0
2023/24,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,134.0,31 years 219 days,Portugal,4.0
2023/24,359331.0,Wes Foderingham,Wes,Foderingham,G,21.0,Goalkeeper,Sheffield United,SHU,133.0,33 years 222 days,England,6.0
2023/24,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,121.0,30 years 169 days,England,7.0
2023/24,340457.0,Mark Flekken,Mark,Flekken,G,1.0,Goalkeeper,Brentford,BRE,115.0,31 years 71 days,Netherlands,8.0
2023/24,322361.0,Neto,Norberto,Murara Neto,G,1.0,Goalkeeper,Bournemouth,BOU,115.0,35 years 35 days,Brazil,8.0
2023/24,340670.0,Guglielmo Vicario,Guglielmo,Vicario,G,1.0,Goalkeeper,Tottenham Hotspur,TOT,110.0,27 years 321 days,Italy,10.0
2023/24,342474.0,James Trafford,James,Trafford,G,1.0,Goalkeeper,Burnley,BUR,106.0,21 years 318 days,England,11.0
2023/24,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,95.0,31 years 356 days,Argentina,12.0
2023/24,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,88.0,35 years 221 days,Slovakia,13.0
2023/24,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,83.0,31 years 326 days,Brazil,14.0
2023/24,346132.0,Djordje Petrovic,Djordje,Petrovic,G,28.0,Goalkeeper,Chelsea,CHE,75.0,24 years 320 days,Serbia,15.0
2023/24,340943.0,Bart Verbruggen,Bart,Verbruggen,G,1.0,Goalkeeper,Brighton & Hove Albion,BHA,65.0,22 years 5 days,Netherlands,16.0
2023/24,361625.0,Arijanet Muric,Arijanet,Muric,G,1.0,Goalkeeper,Burnley,BUR,64.0,25 years 290 days,Kosovo,17.0
2023/24,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,Crystal Palace,CRY,58.0,27 years 164 days,England,18.0
2023/24,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,57.0,31 years 6 days,Brazil,19.0
2023/24,344441.0,Matt Turner,Matt,Turner,G,1.0,Goalkeeper,Nottingham Forest,NFO,55.0,30 years 60 days,United States,20.0
2023/24,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,Chelsea,CHE,53.0,26 years 279 days,Spain,21.0
2023/24,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,n/a,n/a,46.0,28 years 343 days,Spain,22.0
2023/24,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,43.0,32 years 126 days,England,23.0
2023/24,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,43.0,34 years 5 days,England,23.0
2023/24,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,Crystal Palace,CRY,41.0,31 years 151 days,England,25.0
2023/24,356625.0,Matz Sels,Matz,Sels,G,26.0,Goalkeeper,Nottingham Forest,NFO,38.0,32 years 179 days,Belgium,26.0
2023/24,356312.0,Ivo Grbic,Ivo,Grbic,G,13.0,Goalkeeper,Sheffield United,SHU,37.0,28 years 218 days,Croatia,27.0
2023/24,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,33.0,39 years 127 days,Poland,28.0
2023/24,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,28.0,25 years 274 days,Ireland,29.0
2023/24,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,21.0,34 years 228 days,Sweden,30.0
2023/24,314465.0,Stefan Ortega,Stefan,Ortega,G,18.0,Goalkeeper,Manchester City,MCI,20.0,31 years 291 days,Germany,31.0
2023/24,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,Bournemouth,BOU,13.0,25 years 97 days,Ireland,32.0
2023/24,359412.0,Odysseas Vlachodimos,Odysseas,Vlachodimos,G,19.0,Goalkeeper,n/a,n/a,10.0,30 years 119 days,Greece,33.0
2023/24,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,9.0,26 years 101 days,England,34.0
2023/24,353590.0,Dan Bentley,Dan,Bentley,G,25.0,Goalkeeper,Wolverhampton Wanderers,WOL,8.0,31 years 41 days,England,35.0
2023/24,318212.0,Thomas Strakosha,Thomas,Strakosha,G,21.0,Goalkeeper,n/a,n/a,6.0,29 years 157 days,Albania,36.0
2023/24,343284.0,Andrei Radu,Andrei,Radu,G,20.0,Goalkeeper,n/a,n/a,5.0,27 years 87 days,Romania,37.0
2023/24,327268.0,Loris Karius,Loris,Karius,G,18.0,Goalkeeper,n/a,n/a,4.0,31 years 62 days,Germany,38.0
2023/24,353591.0,James Shea,James,Shea,G,1.0,Goalkeeper,Luton Town,LUT,2.0,33 years 68 days,England,39.0
2022/23,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,n/a,n/a,154.0,28 years 343 days,Spain,1.0
2022/23,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,Fulham,FUL,144.0,32 years 172 days,Germany,2.0
2022/23,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,124.0,30 years 169 days,England,3.0
2022/23,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,108.0,31 years 326 days,Brazil,4.0
2022/23,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,108.0,39 years 127 days,Poland,4.0
2022/23,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,108.0,31 years 219 days,Portugal,4.0
2022/23,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,101.0,33 years 290 days,Spain,7.0
2022/23,322361.0,Neto,Norberto,Murara Neto,G,1.0,Goalkeeper,Bournemouth,BOU,100.0,35 years 35 days,Brazil,8.0
2022/23,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,98.0,31 years 356 days,Argentina,9.0
2022/23,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,95.0,26 years 101 days,England,10.0
2022/23,186584.0,Illan Meslier,Illan,Meslier,G,1.0,Goalkeeper,Leeds United,LEE,94.0,24 years 174 days,France,11.0
2022/23,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,91.0,29 years 325 days,Spain,12.0
2022/23,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,87.0,32 years 126 days,England,13.0
2022/23,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,85.0,37 years 226 days,Spain,14.0
2022/23,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,79.0,37 years 241 days,France,15.0
2022/23,357590.0,Danny Ward,Danny,Ward,G,n/a,Goalkeeper,Leicester City,LEI,78.0,31 years 62 days,Wales,16.0
2022/23,312832.0,Gavin Bazunu,Gavin,Bazunu,G,31.0,Goalkeeper,Southampton,SOU,69.0,22 years 185 days,Ireland,17.0
2022/23,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,n/a,n/a,55.0,27 years 164 days,England,18.0
2022/23,337946.0,Keylor Navas,Keylor,Navas,G,12.0,Goalkeeper,n/a,n/a,51.0,37 years 252 days,Costa Rica,19.0
2022/23,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,48.0,26 years 279 days,Spain,20.0
2022/23,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,46.0,31 years 6 days,Brazil,21.0
2022/23,355030.0,Daniel Iversen,Daniel,Iversen,G,1.0,Goalkeeper,Leicester City,LEI,38.0,27 years 35 days,Denmark,22.0
2022/23,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,37.0,34 years 5 days,England,23.0
2022/23,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,n/a,n/a,36.0,25 years 97 days,Ireland,24.0
2022/23,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,Tottenham Hotspur,TOT,32.0,36 years 159 days,England,25.0
2022/23,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,Crystal Palace,CRY,26.0,31 years 151 days,England,26.0
2022/23,256071.0,Édouard Mendy,Édouard,Mendy,G,16.0,Goalkeeper,n/a,n/a,25.0,32 years 175 days,Senegal,27.0
2022/23,322448.0,Joel Robles,Joel,Robles,G,22.0,Goalkeeper,Leeds United,LEE,16.0,34 years 67 days,Spain,28.0
2022/23,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,14.0,34 years 264 days,England,29.0
2022/23,314465.0,Stefan Ortega,Stefan,Ortega,G,18.0,Goalkeeper,Manchester City,MCI,14.0,31 years 291 days,Germany,29.0
2022/23,353590.0,Dan Bentley,Dan,Bentley,G,25.0,Goalkeeper,Wolverhampton Wanderers,WOL,11.0,31 years 41 days,England,31.0
2022/23,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,11.0,34 years 228 days,Sweden,31.0
2022/23,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,10.0,35 years 221 days,Slovakia,33.0
2022/23,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,9.0,31 years 178 days,France,34.0
2022/23,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,9.0,37 years 212 days,Wales,34.0
2022/23,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,6.0,25 years 274 days,Ireland,36.0
2022/23,361151.0,Joe Whitworth,Joe,Whitworth,G,1.0,Goalkeeper,n/a,n/a,5.0,20 years 176 days,England,37.0
2022/23,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,4.0,37 years 64 days,Bosnia & Herzegovina,38.0
2022/23,20301.0,Marek Rodák,Marek,Rodák,G,13.0,Goalkeeper,n/a,n/a,2.0,27 years 254 days,Slovakia,39.0
2022/23,346844.0,Neal Maupay,Neal,Maupay,F,7.0,Centre Striker,Everton,EVE,0.0,28 years 9 days,France,40.0
2021/22,186584.0,Illan Meslier,Illan,Meslier,G,1.0,Goalkeeper,Leeds United,LEE,143.0,24 years 174 days,France,1.0
2021/22,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,131.0,37 years 292 days,Denmark,2.0
2021/22,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,128.0,33 years 290 days,Spain,3.0
2021/22,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,121.0,31 years 219 days,Portugal,4.0
2021/22,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,121.0,32 years 126 days,England,4.0
