Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Shots,Age,Nationality,Rank
2024/25,320724.0,Eberechi Eze,Eberechi,Eze,M,10.0,Centre Attacking Midfielder,Crystal Palace,CRY,7.0,26 years 55 days,England,1.0
2024/25,180060.0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,M,8.0,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,6.0,29 years 350 days,Portugal,2.0
2024/25,286397.0,Adam Armstrong,Adam,Armstrong,F,9.0,Centre Striker,Southampton,SOU,5.0,27 years 195 days,England,3.0
2024/25,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,5.0,25 years 73 days,Germany,3.0
2024/25,135654.0,Bukayo Saka,Bukayo,Saka,F,77.0,Left Winger,Arsenal,ARS,5.0,22 years 353 days,England,3.0
2024/25,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,5.0,24 years 229 days,Ghana,3.0
2024/25,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,5.0,29 years 178 days,Czech Republic,3.0
2024/25,348034.0,Marcus Tavernier,Marcus,Tavernier,M,n/a,Midfielder,Bournemouth,BOU,5.0,25 years 154 days,England,3.0
2024/25,289869.0,Kaoru Mitoma,Kaoru,Mitoma,F,18.0,Forward,Brighton & Hove Albion,BHA,4.0,27 years 95 days,Japan,9.0
2024/25,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,4.0,32 years 69 days,Egypt,9.0
2024/25,320107.0,Will Smallbone,Will,Smallbone,M,18.0,Centre Central Midfielder,Southampton,SOU,4.0,24 years 184 days,Ireland,9.0
2024/25,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,3.0,27 years 14 days,Jamaica,12.0
2024/25,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,3.0,27 years 59 days,Uruguay,12.0
2024/25,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,3.0,32 years 182 days,Brazil,12.0
2024/25,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,3.0,27 years 223 days,Colombia,12.0
2024/25,337917.0,Enzo Fernández,Enzo,Fernández,M,8.0,Midfielder,Chelsea,CHE,3.0,23 years 219 days,Argentina,12.0
2024/25,349224.0,Jack Harrison,Jack,Harrison,M,7.0,Midfielder,Everton,EVE,3.0,27 years 277 days,England,12.0
2024/25,359410.0,Omari Hutchinson,Omari,Hutchinson,F,20.0,Right Winger,Ipswich Town,IPS,3.0,20 years 298 days,Jamaica,12.0
2024/25,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,Tottenham Hotspur,TOT,3.0,26 years 344 days,England,12.0
2024/25,340932.0,Dominik Szoboszlai,Dominik,Szoboszlai,M,8.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,3.0,23 years 303 days,Hungary,12.0
2024/25,255674.0,Diogo Jota,Diogo José,Teixeira da Silva,F,20.0,Left/Centre/Right Striker,Liverpool,LIV,3.0,27 years 263 days,Portugal,12.0
2024/25,344967.0,Adama Traoré,Adama,Traoré,F,11.0,Winger,Fulham,FUL,3.0,28 years 211 days,Spain,12.0
