Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalHighClaim,Age,Nationality,Rank
2024/25,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,2.0,34 years 264 days,England,1.0
2024/25,342476.0,André Onana,André,Onana,G,24.0,Goalkeeper,Manchester United,MUN,2.0,28 years 143 days,Cameroon,1.0
2024/25,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,1.0,31 years 178 days,France,3.0
2024/25,340457.0,Mark Flekken,Mark,Flekken,G,1.0,Goalkeeper,Brentford,BRE,1.0,31 years 71 days,Netherlands,3.0
2024/25,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,1.0,31 years 219 days,Portugal,3.0
2024/25,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,1.0,31 years 356 days,Argentina,3.0
2024/25,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,1.0,30 years 169 days,England,3.0
2024/25,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,1.0,32 years 126 days,England,3.0
2024/25,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,Arsenal,ARS,1.0,28 years 343 days,Spain,3.0
2024/25,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,Chelsea,CHE,1.0,26 years 279 days,Spain,3.0
2024/25,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,1.0,31 years 6 days,Brazil,3.0
2024/25,340670.0,Guglielmo Vicario,Guglielmo,Vicario,G,1.0,Goalkeeper,Tottenham Hotspur,TOT,1.0,27 years 321 days,Italy,3.0
2024/25,301239.0,Christian Walton,Christian,Walton,G,28.0,Goalkeeper,Ipswich Town,IPS,1.0,28 years 288 days,England,3.0
2023/24,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,45.0,31 years 219 days,Portugal,1.0
2023/24,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,45.0,31 years 356 days,Argentina,1.0
2023/24,340457.0,Mark Flekken,Mark,Flekken,G,1.0,Goalkeeper,Brentford,BRE,44.0,31 years 71 days,Netherlands,3.0
2023/24,342476.0,André Onana,André,Onana,G,24.0,Goalkeeper,Manchester United,MUN,42.0,28 years 143 days,Cameroon,4.0
2023/24,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,n/a,n/a,40.0,28 years 343 days,Spain,5.0
2023/24,340670.0,Guglielmo Vicario,Guglielmo,Vicario,G,1.0,Goalkeeper,Tottenham Hotspur,TOT,33.0,27 years 321 days,Italy,6.0
2023/24,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,30.0,30 years 169 days,England,7.0
2023/24,342474.0,James Trafford,James,Trafford,G,1.0,Goalkeeper,Burnley,BUR,30.0,21 years 318 days,England,7.0
2023/24,344441.0,Matt Turner,Matt,Turner,G,1.0,Goalkeeper,Nottingham Forest,NFO,30.0,30 years 60 days,United States,7.0
2023/24,359331.0,Wes Foderingham,Wes,Foderingham,G,21.0,Goalkeeper,Sheffield United,SHU,28.0,33 years 222 days,England,10.0
2023/24,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,27.0,31 years 178 days,France,11.0
2023/24,322361.0,Neto,Norberto,Murara Neto,G,1.0,Goalkeeper,Bournemouth,BOU,26.0,35 years 35 days,Brazil,12.0
2023/24,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,25.0,31 years 6 days,Brazil,13.0
2023/24,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,Crystal Palace,CRY,24.0,31 years 151 days,England,14.0
2023/24,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,20.0,35 years 221 days,Slovakia,15.0
2023/24,361625.0,Arijanet Muric,Arijanet,Muric,G,1.0,Goalkeeper,Burnley,BUR,20.0,25 years 290 days,Kosovo,15.0
