Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalOffsides,Age,Nationality,Rank
2024/25,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,4.0,31 years 235 days,Mali,1.0
2024/25,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,2.0,27 years 160 days,England,2.0
2024/25,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,2.0,32 years 182 days,Brazil,2.0
2024/25,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,2.0,23 years 64 days,Senegal,2.0
2024/25,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,2.0,24 years 229 days,Ghana,2.0
2024/25,362856.0,Sam Szmodics,Sam,Szmodics,M,23.0,Centre Attacking Midfielder,Ipswich Town,IPS,2.0,28 years 334 days,Ireland,2.0
2024/25,356742.0,Ali Al-Hamadi,Ali Ibrahim Karim,Al-Hamadi,F,16.0,Striker,Ipswich Town,IPS,1.0,22 years 175 days,Iraq,7.0
2024/25,355287.0,Yasin Ayari,Yasin,Ayari,M,n/a,Midfielder,Brighton & Hove Albion,BHA,1.0,20 years 322 days,Sweden,7.0
2024/25,362065.0,Ben Brereton,Ben,Brereton,F,17.0,Left Winger,Southampton,SOU,1.0,25 years 127 days,Chile,7.0
2024/25,294324.0,Lewis Cook,Lewis,Cook,M,n/a,Midfielder,Bournemouth,BOU,1.0,27 years 202 days,England,7.0
2024/25,320523.0,Leif Davis,Leif,Davis,D,3.0,Left Full Back,Ipswich Town,IPS,1.0,24 years 236 days,England,7.0
2024/25,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,Leicester City,LEI,1.0,31 years 203 days,Jamaica,7.0
2024/25,345865.0,Jérémy Doku,Jérémy,Doku,F,11.0,Left/Right Winger,Manchester City,MCI,1.0,22 years 88 days,Belgium,7.0
2024/25,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,1.0,26 years 220 days,France,7.0
2024/25,360844.0,Abdul Fatawu,Abdul,Fatawu,F,7.0,Right Winger,Leicester City,LEI,1.0,20 years 168 days,Ghana,7.0
2024/25,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,1.0,25 years 220 days,Portugal,7.0
2024/25,318611.0,Marcus Harness,Marcus,Harness,M,11.0,Left/Centre/Right Attacking Midfielder,Ipswich Town,IPS,1.0,28 years 181 days,Ireland,7.0
2024/25,349224.0,Jack Harrison,Jack,Harrison,M,7.0,Midfielder,Everton,EVE,1.0,27 years 277 days,England,7.0
2024/25,362102.0,Dean Huijsen,Dean,Huijsen,D,2.0,Centre Central Defender,Bournemouth,BOU,1.0,19 years 131 days,Spain,7.0
2024/25,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,1.0,24 years 337 days,Sweden,7.0
2024/25,359409.0,Daichi Kamada,Daichi,Kamada,M,18.0,Centre Attacking Midfielder,Crystal Palace,CRY,1.0,28 years 18 days,Japan,7.0
2024/25,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,1.0,24 years 21 days,Ghana,7.0
2024/25,359330.0,Ian Maatsen,Ian,Maatsen,D,22.0,Left Full Back,Aston Villa,AVL,1.0,22 years 166 days,Netherlands,7.0
2024/25,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,1.0,26 years 297 days,England,7.0
2024/25,320542.0,Chris Richards,Chris,Richards,D,26.0,Centre Central Defender,Crystal Palace,CRY,1.0,24 years 148 days,United States,7.0
2024/25,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,1.0,27 years 15 days,United States,7.0
2024/25,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,Brentford,BRE,1.0,22 years 270 days,Germany,7.0
2024/25,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,Tottenham Hotspur,TOT,1.0,26 years 344 days,England,7.0
2024/25,23381.0,Jack Stephens,Jack,Stephens,D,n/a,Defender,n/a,n/a,1.0,30 years 209 days,England,7.0
2024/25,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,Nottingham Forest,NFO,1.0,32 years 260 days,New Zealand,7.0
2024/25,282013.0,Marc Guéhi,Marc,Guéhi,D,6.0,Centre Central Defender,Crystal Palace,CRY,0.0,24 years 41 days,England,31.0
2023/24,312801.0,Darwin Núñez,Darwin,Núñez,F,9.0,Centre Striker,Liverpool,LIV,33.0,25 years 60 days,Uruguay,1.0
2023/24,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,28.0,23 years 64 days,Senegal,2.0
2023/24,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,24.0,27 years 160 days,England,3.0
2023/24,302911.0,Jean-Philippe Mateta,Jean-Philippe,Mateta,F,14.0,Centre Striker,Crystal Palace,CRY,24.0,27 years 56 days,France,3.0
2023/24,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,21.0,31 years 235 days,Mali,5.0
2023/24,180212.0,Jarrod Bowen,Jarrod,Bowen,F,20.0,Centre Striker,West Ham United,WHU,20.0,27 years 247 days,England,6.0
2023/24,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,20.0,27 years 223 days,Colombia,6.0
2023/24,20239.0,Son Heung-Min,Heung-Min,Son,F,7.0,Left/Centre/Right Winger,Tottenham Hotspur,TOT,20.0,32 years 46 days,South Korea,6.0
2023/24,286396.0,Yoane Wissa,Yoane,Wissa,M,11.0,Left Winger,Brentford,BRE,20.0,27 years 355 days,DR Congo,6.0
2023/24,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,Nottingham Forest,NFO,19.0,22 years 118 days,Sweden,10.0
2023/24,315374.0,Simon Adingra,Simon,Adingra,F,11.0,Left Winger,Brighton & Hove Albion,BHA,17.0,22 years 235 days,Cote D’Ivoire,11.0
2023/24,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,17.0,24 years 337 days,Sweden,11.0
2023/24,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,17.0,32 years 69 days,Egypt,11.0
2023/24,315355.0,Gabriel Jesus,Gabriel Fernando,de Jesus,F,9.0,Second Striker,Arsenal,ARS,16.0,27 years 142 days,Brazil,14.0
2023/24,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,16.0,24 years 21 days,Ghana,14.0
2023/24,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,n/a,n/a,16.0,26 years 344 days,England,14.0
2023/24,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,16.0,28 years 237 days,England,14.0
2023/24,309995.0,Alejandro Garnacho,Alejandro,Garnacho,F,17.0,Left/Right Winger,Manchester United,MUN,15.0,20 years 53 days,Argentina,18.0
2023/24,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,15.0,25 years 73 days,Germany,18.0
2023/24,312590.0,Hwang Hee-Chan,Hee-Chan,Hwang,F,11.0,Centre Striker,Wolverhampton Wanderers,WOL,15.0,28 years 210 days,South Korea,18.0
2023/24,343771.0,Rasmus Højlund,Rasmus,Højlund,F,9.0,Centre Striker,Manchester United,MUN,15.0,21 years 201 days,Denmark,18.0
2023/24,337205.0,Lyle Foster,Lyle,Foster,F,17.0,Centre Striker,Burnley,BUR,14.0,23 years 355 days,South Africa,22.0
